PROJECT,DATE, DESCRIPTION , TYPE ,RECIPT TYPE,RECIPT NUMBER,NO. ITEMS, UNIT COST , TOTAL COST 
ADMIN,2/18/2023,LOAD (BENTOY),Misc. Admin,VC,,1,60,60
ADMIN,2/18/2023,OFFICE STAFF LUNCH,Misc. Admin,VC,,1,950,950
21047794 (Service Request for Cathode Plate Buffing),2/18/2023,ADJUSTMENT,Labor,VC,,1,195,195
ADMIN,2/18/2023,MISC CANTER PARTS,Repair & Maintenance,OR,438710,1,6086,6086
ADMIN,2/18/2023,LOAD (BAUYON),Misc. Admin,VC,,1,20,20
ADMIN,2/21/2023,MISC OFFICE SUPPLIES,Office Supply,OR,393690,1,445,445
ADMIN,2/21/2023,LOAD (BENTOY),Misc. Admin,VC,,1,60,60
21047794 (Service Request for Cathode Plate Buffing),2/21/2023,DINNER,Misc. Operation,VC,,1,200,200
ADMIN,2/21/2023,WATER BILL,Water Utility,OR,234944,1,633,633
ADMIN,2/21/2023,BUS REPAIR,Repair & Maintenance,VC,,1,3000,3000
ADMIN,2/21/2023,CANTER REPAIR,Repair & Maintenance,VC,,1,2500,2500
ADMIN,2/21/2023,VEHICLE PASS,Misc. Operation,OR,151963,3,10,30
ADMIN,2/21/2023,FUEL,Fuels,OR,357881,14.97,66.8,999.996
ADMIN,2/21/2023,CLIP BOARD,Office Supply,OR,12801,2,110,220
ADMIN,2/22/2023,GATE PASS,Misc. Operation,OR,55622,19,10,190
ADMIN,2/22/2023,LOAD (BAUYON),Misc. Admin,VC,,1,20,20
ADMIN,2/22/2023,FUELS,Fuels,OR,358262,14.97,66.8,999.996
21047794 (Service Request for Cathode Plate Buffing),2/23/2023,DINNER,Misc. Operation,VC,,1,450,450
ADMIN,2/23/2023,SCIZZORS,Office Supply,OR,35036,1,214,214
ADMIN,2/23/2023,PURIFIED WATER,Water Utility,OR,6411,49,20,980
21047794 (Service Request for Cathode Plate Buffing),2/24/2023,DINNER,Misc. Operation,VC,,1,400,400
ADMIN,2/24/2023,BATTERY CHARGER,Tools and Equip,VC,,2,50,100
21047794 (Service Request for Cathode Plate Buffing),2/24/2023,DINNER,Misc. Operation,VC,,1,400,400
ADMIN,2/24/2023,FUELS,Fuels,OR,102098,4.35,69,300.15
ADMIN,2/24/2023,BATTERY CLAMP,Repair & Maintenance,OR,23361,3,85,255
ADMIN,2/24/2023,BLINKER SWITCH,Repair & Maintenance,VC,,1,45,45
ADMIN,2/25/2023,TRAVEL ALLOWANCE (BAUYON),Misc. Admin,VC,,1,500,500
ADMIN,2/25/2023,GRINDER REPAIR,Repair & Maintenance,VC,,1,400,400
ADMIN,2/25/2023,FARE (BAUYON),Misc. Admin,VC,,1,138,138
ADMIN,2/25/2023,FUELS,Fuels,OR,102114,11.6,69,800.4
ADMIN,2/25/2023,GATE PASS,Misc. Operation,OR,152194,3,10,30
ADMIN,2/26/2023,BUS/CANTER PARTS,Repair & Maintenance,OR,23376,1,405,405
ADMIN,2/27/2023,CANTER REPAIR,Repair & Maintenance,VC,,1,1200,1200
21047794 (Service Request for Cathode Plate Buffing),2/27/2023,DINNER,Misc. Operation,VC,,1,350,350
ADMIN,2/28/2023,GLOVES,PPE,VC,,1,500,500
ADMIN,2/2/2023,LUNCH,Misc. Admin,VC,,1,310,310
21047794 (Service Request for Cathode Plate Buffing),2/3/2023,BUFFING/POLISHING DISC,Materials,OR,5184,1,136,136
ADMIN,2/6/2023,FUELS,Fuels,OR,409751,2.125,70.6,150.025
ADMIN,2/14/2023,FUELS,Fuels,OR,410174,2.19,68.5,150.015
21047794 (Service Request for Cathode Plate Buffing),2/3/2023,MAGIC TAPE,Materials,OR,13022,5,20,100
21047794 (Service Request for Cathode Plate Buffing),2/11/2023,DINNER,Misc. Operation,VC,,1,500,500
ADMIN,2/11/2023,STICKER PRINT,Misc. Admin,OR,608,1,150,150
21047794 (Service Request for Cathode Plate Buffing),2/15/2023,RUGBY,Materials,OR,10110,2,95,190
21047794 (Service Request for Cathode Plate Buffing),2/20/2023,DINNER,Misc. Operation,VC,,1,150,150
21047794 (Service Request for Cathode Plate Buffing),2/23/2023,DINNER,Misc. Operation,VC,,1,450,450
ADMIN,2/23/2023,AUTO BULB,Repair & Maintenance,OR,23347,2,50,100
21047794 (Service Request for Cathode Plate Buffing),2/23/2023,RUGBY,Materials,OR,58213,2,75,150
21047794 (Service Request for Cathode Plate Buffing),2/23/2023,BUFFING PADS,Materials,OR,530-653901,1,660,660
ADMIN,2/23/2023,DRILL CHUCK,Tools and Equip,OR,530-653901,1,308,308
21047794 (Service Request for Cathode Plate Buffing),2/14/2023,TRUCK RENTAL,Materials,VC,,1,2500,2500
ADMIN,2/14/2023,BIR PENALTY,Misc. Admin,VC,,1,22000,22000
ADMIN,2/15/2023,AIRCON REPAIR (STRADA),Repair & Maintenance,OR,49438,1,7700,7700
ADMIN,2/15/2023,BLINKER BULB,Repair & Maintenance,OR,140062,1,1100,1100
21047794 (Service Request for Cathode Plate Buffing),2/18/2023,"PAYROLL FEB. 6 - 12, 2023",Labor,,,1,87705.68,87705.68
21047794 (Service Request for Cathode Plate Buffing),2/18/2023,"PAYROLL FEB. 6 - 12, 2023 (BUFFERS)",Labor,,,1,22810,22810
ADMIN,2/18/2023,"PAYROLL FEB. 6 - 12, 2023 (OVERHEAD)",Overhead payroll,,,1,48439.29,48439.29
ADMIN,2/18/2023,"PAYROLL FEB. 6 - 12, 2023 (OFFICE STAFF)",Overhead payroll,,,1,2600,2600
21047794 (Service Request for Cathode Plate Buffing),2/18/2023,"PAYROLL FEB. 6 - 12, 2023 (WATCHER)",Labor,,,1,2100,2100
21047794 (Service Request for Cathode Plate Buffing),2/18/2023,"PAYROLL FEB. 6 - 12, 2023 (RENTAL DRIVER)",Labor,,,1,1799.69,1799.69
21047794 (Service Request for Cathode Plate Buffing),2/25/2023,"PAYROLL FEB. 13 - 19, 2023 ",Labor,,,1,102717.31,102717.31
21047794 (Service Request for Cathode Plate Buffing),2/25/2023,"PAYROLL FEB. 13 - 19, 2023 (BUFFERS)",Labor,,,1,53909,53909
21047794 (Service Request for Cathode Plate Buffing),2/25/2023,"PAYROLL FEB. 13 - 19, 2023 (WATCHER)",Labor,,,1,2100,2100
21047794 (Service Request for Cathode Plate Buffing),2/25/2023,"PAYROLL FEB. 13 - 19, 2023 (RENTAL DRIVER)",Labor,,,1,6488.13,6488.13
21047794 (Service Request for Cathode Plate Buffing),2/25/2023,"PAYROLL FEB. 13 - 19, 2023 (2ND DRIVER)",Labor,,,1,2371.88,2371.88
ADMIN,2/25/2023,"PAYROLL FEB. 13 - 19, 2023 (OVERHEAD)",Overhead payroll,,,1,44257.19,44257.19
ADMIN,2/25/2023,"PAYROLL FEB. 13 - 19, 2023 (OFFICE STAFF)",Overhead payroll,,,1,3150,3150
ADMIN,2/25/2023,"PAYROLL FEB. 13 - 19, 2023 (SAKI)",Overhead payroll,,,1,9100,9100
ADMIN,2/8/2023,VULCATE,Repair & Maintenance,OR,28858,1,200,200
ADMIN,2/19/2023,FUEL,Fuels,OR,205674,1,2000,2000
ADMIN,2/23/2023,FUEL,Fuels,OR,1720,1,600,600
ADMIN,2/25/2023,LED HIGH POWER BEACON,Repair & Maintenance,OR,140648,1,1100,1100
21047794 (Service Request for Cathode Plate Buffing),2/27/2023,FLAP DISC,Materials,OR,404917,20,80,1600
21047794 (Service Request for Cathode Plate Buffing),2/27/2023,BUFFING PAD,Materials,OR,404917,20,70,1400
ADMIN,2/27/2023,FUELS,Fuels,OR,102221,1,1000,1000
21047794 (Service Request for Cathode Plate Buffing),3/3/2023,RUGBY,Tools and Equip,OR,58259,1,75,75
21047794 (Service Request for Cathode Plate Buffing),3/3/2023,MAGIC TAPE,Tools and Equip,VC,,1,250,250
ADMIN,3/10/2023,FUELS,Fuels,OR,411494,1,150,150
21047794 (Service Request for Cathode Plate Buffing),3/10/2023,MAGIC TAPE,Materials,OR,11043,1,240,240
21047794 (Service Request for Cathode Plate Buffing),3/1/2023,SCOURING PAD,Materials,OR,12743,300,42,12600
ADMIN,3/1/2023,OIL FILTER,Repair & Maintenance,OR,23400,1,1080,1080
ADMIN,3/1/2023,BOND PAPER A4,Office Supply,OR,11747,1,245,245
21047794 (Service Request for Cathode Plate Buffing),3/1/2023,DINNER,Misc. Operation,VC,,1,100,100
ADMIN,3/1/2023,WORKING GLOVES,PPE,VC,,4,120,480
ADMIN,3/1/2023,FUELS,Fuels,OR,360172,1,150,150
ADMIN,3/2/2023,FUELS,Fuels,OR,102290,1,500,500
ADMIN,3/2/2023,CANTER REPAIR,Repair & Maintenance,VC,,1,2300,2300
21047794 (Service Request for Cathode Plate Buffing),3/2/2023,GATE PASS,Misc. Operation,VC,,1,30,30
ADMIN,3/4/2023,OFFICE LUNCH,Misc. Admin,VC,,1,360,360
ADMIN,3/4/2023,FUELS,Fuels,OR,387629,1,500,500
ADMIN,3/6/2023,LOAD BUDGET (ISAAC),Misc. Admin,VC,,1,400,400
ADMIN,3/6/2023,FUELS,Fuels,OR,14289,1,50,50
ADMIN,3/6/2023,CANTER REPAIR,Repair & Maintenance,VC,,1,2000,2000
ADMIN,3/6/2023,LOAD BUDGET (BENTOY),Misc. Admin,VC,,1,120,120
ADMIN,3/6/2023,GREASE,Repair & Maintenance,OR,23452,2,125,250
21047794 (Service Request for Cathode Plate Buffing),3/6/2023,GATE PASS,Misc. Operation,VC,,1,60,60
ADMIN,3/7/2023,GRINDER (MAKITA),Tools and Equip,VC,,1,2000,2000
ADMIN,3/7/2023,FLOODLIGHTS,Tools and Equip,VC,,1,1500,1500
21047794 (Service Request for Cathode Plate Buffing),3/7/2023,DINNER,Misc. Operation,VC,,1,50,50
ADMIN,3/9/2023,TIG GLOVES,PPE,VC,,4,150,600
ADMIN,3/8/2023,RADIATOR ,Repair & Maintenance,VC,,1,1000,1000
ADMIN,3/7/2023,DRINKING WATER,Water Utility,OR,6426,64,20,1280
21047794 (Service Request for Cathode Plate Buffing),3/10/2023,INSURANCE,Insurance,OR,65212,1,10795.25,10795.25
21047794 (Service Request for Cathode Plate Buffing),3/4/2023,"PAYROLL FEB. 20 - 26, 2023 ",Labor,,,1,53416.54,53416.54
21047794 (Service Request for Cathode Plate Buffing),3/4/2023,"PAYROLL FEB. 20 - 26, 2023 (BUFFERS)",Labor,,,1,47109,47109
21047794 (Service Request for Cathode Plate Buffing),3/4/2023,"PAYROLL FEB. 20 - 26, 2023 (RENTAL DRIVER)",Labor,,,1,6835.21,6835.21
21047794 (Service Request for Cathode Plate Buffing),3/4/2023,"PAYROLL FEB. 20 - 26, 2023 (WATCHER)",Labor,,,1,2100,2100
ADMIN,3/4/2023,"PAYROLL FEB. 20 - 26, 2023 (OVERHEAD)",Overhead payroll,,,1,86174.86,86174.86
ADMIN,3/4/2023,"PAYROLL FEB. 20 - 26, 2023 (OFFICE STAFF)",Overhead payroll,,,1,3100,3100
21047794 (Service Request for Cathode Plate Buffing),3/11/2023,"PAYROLL FEB. 27 - MARCH 5, 2023",Labor,,,1,39953.01,39953.01
21047794 (Service Request for Cathode Plate Buffing),3/11/2023,"PAYROLL FEB. 27 - MARCH 5, 2023 (BUFFERS)",Labor,,,1,47134.6,47134.6
21047794 (Service Request for Cathode Plate Buffing),3/11/2023,"PAYROLL FEB. 27 - MARCH 5, 2023 (RENTAL DRIVER)",Labor,,,1,6378.13,6378.13
21047794 (Service Request for Cathode Plate Buffing),3/11/2023,"PAYROLL FEB. 27 - MARCH 5, 2023 (WATCHER)",Labor,,,1,2100,2100
21047794 (Service Request for Cathode Plate Buffing),3/11/2023,"PAYROLL FEB. 27 - MARCH 5, 2023 (ADJUSTMENT)",Labor,,,1,883.21,883.21
ADMIN,3/11/2023,"PAYROLL FEB. 27 - MARCH 5, 2023 (OVERHEAD)",Overhead payroll,,,1,88743.69,88743.69
ADMIN,3/11/2023,"PAYROLL FEB. 27 - MARCH 5, 2023 (UTILITIES)",Overhead payroll,,,1,4900,4900
ADMIN,3/11/2023,"PAYROLL FEB. 27 - MARCH 5, 2023 (SAKI)",Overhead payroll,,,1,16900,16900
ADMIN,3/10/2023,OFFICE SUPLLIES,Office Supply,OR,5345,1,718,718
ADMIN,3/11/2023,FUELS,Fuels,OR,102467,1,1000,1000
21047794 (Service Request for Cathode Plate Buffing),3/11/2023,GATE PASS,Misc. Operation,VC,,1,30,30
ADMIN,3/11/2023,FARE BUDGET (BAOYUN),Misc. Admin,VC,,1,138,138
ADMIN,3/11/2023,TRAVEL ALLOWANCE,Misc. Admin,VC,,1,500,500
ADMIN,3/13/2023,STRADA REPAIR,Repair & Maintenance,VC,,1,1000,1000
ADMIN,3/13/2023,STRADA PARTS,Repair & Maintenance,VC,,1,94,94
ADMIN,3/13/2023,BOLTS,Materials,OR,17211,2,47,94
ADMIN,3/13/2023,DOC STAMP,Misc. Admin,OR,7803908,1,20,20
ADMIN,3/13/2023,FREON CHARGE,Repair & Maintenance,VC,,1,600,600
ADMIN,3/16/2023,SAND PAPER,Materials,VC,,1,60,60
ADMIN,3/16/2023,ELF REPAIR,Repair & Maintenance,VC,,1,3500,3500
ADMIN,3/17/2023,ACOR STAFF UNIFORM,Misc. Admin,VC,,1,6650,6650
ADMIN,3/16/2023,OIL SEAL,Repair & Maintenance,OR,23554,1,900,900
ADMIN,3/16/2023,GASKET MAKER,Repair & Maintenance,OR,23554,1,175,175
ADMIN,3/16/2023,FUELS,Fuels,OR,411823,1,1000,1000
ADMIN,3/18/2023,WORKING GLOVES,PPE,VC,,1,240,240
21047794 (Service Request for Cathode Plate Buffing),3/18/2023,VELCRO TAPE,Materials,OR,786094596258,1,1086,1086
ADMIN,3/17/2023,FINANCIAL STATEMENT,Misc. Admin,OR,1375,1,10500,10500
21047794 (Service Request for Cathode Plate Buffing),3/18/2023,"PAYROLL MARCH 6 - 12, 2023",Labor,,,1,76765.12,76765.12
21047794 (Service Request for Cathode Plate Buffing),3/18/2023,"PAYROLL MARCH 6 - 12, 2023 (BUFFERS)",Labor,,,1,19940,19940
ADMIN,3/18/2023,"PAYROLL MARCH 6 - 12, 2023 (OVERHEAD)",Overhead payroll,,,1,42889.26,42889.26
ADMIN,3/18/2023,"PAYROLL MARCH 6 - 12, 2023 (UTILITIES)",Overhead payroll,,,1,4800,4800
ADMIN,3/21/2023,ASSORTED GLOVES,PPE,VC,,1,6120,6120
ADMIN,3/21/2023,OFFICE SUPPLIES,Office Supply,OR,362160,1,134,134
ADMIN,3/21/2023,CANTER (TIRE AIR),Repair & Maintenance,VC,,1,50,50
ADMIN,3/23/2023,FARE,Misc. Admin,VC,,1,50,50
ADMIN,3/23/2023,FLAP,Repair & Maintenance,OR,10852,1,450,450
ADMIN,3/23/2023,MATLANG TEMPFACIL RENT MARCH 2023,Rental,VC,,1,5000,5000
ADMIN,3/24/2023,BOOKEEPING FEE,Misc. Admin,VC,,1,3000,3000
ADMIN,3/24/2023,ACOR RECEIPTS (ANAFE),Misc. Admin,VC,,1,3500,3500
ADMIN,3/24/2023,FARE,Misc. Admin,VC,,1,115,115
ADMIN,3/24/2023,ASSORTED GLOVES,PPE,VC,,1,2490,2490
ADMIN,3/25/2023,OFFICE STAFF LUNCH,Misc. Admin,VC,,1,600,600
21047794 (Service Request for Cathode Plate Buffing),3/25/2023,PAYROLL MARCH 13 - 19,Labor,,,1,39080.56,39080.56
21047794 (Service Request for Cathode Plate Buffing),3/25/2023,PAYROLL MARCH 13 - 19 (BUFFERS),Labor,,,1,8550,8550
ADMIN,3/25/2023,PAYROLL MARCH 13 - 19 (OVERHEAD),Overhead payroll,,,1,27879.21,27879.21
ADMIN,3/25/2023,PAYROLL MARCH 13 - 19 (UTILITIES),Overhead payroll,,,1,4800,4800
ADMIN,3/24/2023,FUEL,Fuels,OR,365691,1,100,100
ADMIN,4/1/2023,LOAD ALLOWANCE,Misc. Admin,VC,,1,400,400
ADMIN,4/1/2023,OFFICE STAFF LUNCH,Misc. Admin,VC,,1,342,342
ADMIN,4/2/2023,AIRCON CLEANING,Misc. Admin,VC,,1,800,800
ADMIN,4/2/2023,FUEL,Fuels,OR,25237,1,300,300
ADMIN,4/4/2023,OFFICE SUPPLY,Office Supply,OR,66644,1,600,600
ADMIN,4/4/2023,STRADA FLUID,Repair & Maintenance,OR,13264,1,400,400
ADMIN,4/5/2023,CANTER PIESA,Repair & Maintenance,OR,23755,1,154,154
ADMIN,4/5/2023,CANTER PIESA,Repair & Maintenance,OR,23757,1,250,250
ADMIN,4/5/2023,LOAD BUDGET,Misc. Admin,VC,,1,23,23
ADMIN,4/5/2023,FARE ALLOWANCE,Misc. Admin,VC,,1,207,207
ADMIN,4/5/2023,CONTRACT PRINTING,Misc. Admin,VC,606,1,154,154
ADMIN,4/5/2023,BILWANG RENTAL,Misc. Admin,VC,,1,4070,4070
ADMIN,4/5/2023,ASSORTED PPE,PPE,VC,,1,4150,4150
ADMIN,4/5/2023,STRADA HEAD LIGHT,Repair & Maintenance,OR,50777,1,2200,2200
ADMIN,4/5/2023,CANTER REPAIR OF SHUTOFF VALVE,Repair & Maintenance,VC,,1,1500,1500
21047794 (Service Request for Cathode Plate Buffing),4/1/2023,"PAYROLL MARCH 20-26, 2023",Labor,,,1,44659.42,44659.42
21047794 (Service Request for Cathode Plate Buffing),4/1/2023,"PAYROLL MARCH 20-26, 2023 (BUFFERS)",Labor,,,1,14488,14488
ADMIN,4/1/2023,"PAYROLL MARCH 20-26, 2023 (OVERHEAD)",Overhead payroll,,,1,33101.5,33101.5
ADMIN,4/1/2023,"PAYROLL MARCH 20-26, 2023 (UTILITIES)",Overhead payroll,,,1,5000,5000
ADMIN,4/1/2023,"PAYROLL MARCH 20-26, 2023 (SAKI)",Overhead payroll,,,1,18200,18200
21047794 (Service Request for Cathode Plate Buffing),4/8/2023,"PAYROLL MARCH 27 - APRIL 2, 2023 ",Labor,,,1,56997.98,56997.98
21047794 (Service Request for Cathode Plate Buffing),4/8/2023,"PAYROLL MARCH 27 - APRIL 2, 2023 (BUFFERS)",Labor,,,1,7498,7498
ADMIN,4/8/2023,"PAYROLL MARCH 27 - APRIL 2, 2023 (OVERHEAD)",Overhead payroll,,,1,33702.33,33702.33
ADMIN,4/8/2023,"PAYROLL MARCH 27 - APRIL 2, 2023 (UTILITIES)",Overhead payroll,,,1,3000,3000
ADMIN,4/10/2023,HPINK CARTRIDGE,Office Supply,OR,50693,2,470,940
ADMIN,4/10/2023,USB CABLE,Office Supply,OR,50692,1,125,125
ADMIN,4/11/2023,ACOR SAFETY SHIRT,PPE,VC,,1,10606,10606
ADMIN,4/11/2023,CANTER BATTERY,Repair & Maintenance,OR,23784,1,5300,5300
ADMIN,4/11/2023,OXY/ACY,Materials,OR,148,1,3400,3400
ADMIN,4/14/2023,VARIOUS PPE,PPE,VC,,1,16500,16500
ADMIN,4/14/2023,VARIOUS PPE,PPE,VC,,1,13690,13690
ADMIN,4/15/2023,RUBBING BUSHING,Tools and Equip,OR,409693,1,2000,2000
ADMIN,4/15/2023,GAUGE REPAIR,Tools and Equip,VC,040423-18,1,1000,1000
21047794 (Service Request for Cathode Plate Buffing),4/15/2023,SPRAY PAINT,Materials,OR,13513,2,130,260
21047794 (Service Request for Cathode Plate Buffing),4/15/2023,WELDING ROD,Materials,OR,13514,5,180,900
ADMIN,4/11/2023,CONTRACT PRINT,Misc. Admin,OR,615,284,2,568
21047794 (Service Request for Cathode Plate Buffing),4/11/2023,FLAP DISC,Materials,OR,90437,10,48,480
ADMIN,4/11/2023,STRADA FUEL,Fuels,OR,103154,1,500,500
ADMIN,4/11/2023,WATER,Misc. Admin,VC,,1,30,30
ADMIN,4/11/2023,LOAD OFFICE,Misc. Admin,VC,,1,20,20
ADMIN,4/13/2023,CANTER HANGIN,Repair & Maintenance,OR,10915,1,230,230
ADMIN,4/13/2023,CANTER VULCANIZE,Repair & Maintenance,OR,10919,1,400,400
ADMIN,4/15/2023,NOTARY FEE,Misc. Admin,OR,29354,1,600,600
ADMIN,4/15/2023,CHECKUP EPSON PRINTER,Office Supply,OR,9745,1,150,150
ADMIN,4/15/2023,CANTER BOLTS,Repair & Maintenance,OR,16875,1,56,56
ADMIN,4/15/2023,STRADA FUELS,Fuels,OR,541605,1,500,500
ADMIN,4/15/2023,OFFICE STAFF LUNCH,Misc. Admin,VC,,1,750,750
ADMIN,4/15/2023,CANTER VULCATE,Repair & Maintenance,OR,10928,1,200,200
ADMIN,4/15/2023,MOBILEPOOL MECHANIC TIP,Misc. Operation,VC,,1,100,100
ADMIN,4/15/2023,NUTS AND WASHERS,Materials,OR,139,1,224,224
21047794 (Service Request for Cathode Plate Buffing),4/15/2023,"PAYROLL APRIL 3 - 9, 2023",Labor,,,1,18041.13,18041.13
21047794 (Service Request for Cathode Plate Buffing),4/15/2023,"PAYROLL APRIL 3 - 9, 2023 (BUFFERS)",Labor,,,1,6000,6000
ADMIN,4/15/2023,"PAYROLL APRIL 3 - 9, 2023 (OVERHEAD)",Overhead payroll,,,1,22564.22,22564.22
ADMIN,4/15/2023,"PAYROLL APRIL 3 - 9, 2023 (SAKI)",Overhead payroll,,,1,14300,14300
ADMIN,4/15/2023,"PAYROLL APRIL 3 - 9, 2023 (UTILITIES)",Overhead payroll,,,1,4600,4600
ADMIN,4/20/2023,SAFETY INSPECTOR TIP (SCAFFOLDING PIPE),Misc. Admin,VC,CV0423-25,1,1500,1500
ADMIN,4/19/2023,WATER BILL MATLANG,Water Utility,OR,237336,1,2810,2810
ADMIN,4/19/2023,GAUGE REPAIR,Tools and Equip,VC,CV0423-27,1,2000,2000
ADMIN,4/22/2023,FUELS STRADA,Fuels,OR,413881,1,1000,1000
ADMIN,4/22/2023,GRINDER (HELTI),Tools and Equip,VC,CV0423-33,1,2000,2000
ADMIN,4/22/2023,GRINDING DISC,Tools and Equip,VC,CV0423-33,25,30,750
ADMIN,4/22/2023,CUTTING TIP,Tools and Equip,VC,CV0423-33,2,200,400
ADMIN,4/22/2023,TIG ACCESSORIES,Tools and Equip,VC,CV0423-33,10,100,1000
ADMIN,4/18/2023,FARE ,Misc. Admin,VC,PCF0423-25,1,20,20
21047794 (Service Request for Cathode Plate Buffing),4/18/2023,BUFFING DISC,Materials,VC,PCF0423-26,1,621,621
ADMIN,4/18/2023,1ST QUARTER BIR,Misc. Admin,VC,PCF0423-27,1,150,150
ADMIN,4/22/2023,EXCESS CASH ADVANCE,Misc. Admin,VC,PCF0423-29,1,208,208
ADMIN,4/22/2023,PADLOCK,Tools and Equip,OR,5525,1,120,120
ADMIN,4/22/2023,OFFICE STAFF LUNCH,Misc. Admin,VC,PCF0423-31,1,500,500
ADMIN,4/22/2023,INSPECTOR TIP SCAFFOLDING,Misc. Operation,VC,PCF0423-32,1,200,200
ADMIN,4/22/2023,LOAD BUDGET,Misc. Admin,VC,PCF0423-33,1,60,60
ADMIN,4/22/2023,CANTER BATTERY CHARGE,Repair & Maintenance,VC,PCF0423-34,1,100,100
21047794 (Service Request for Cathode Plate Buffing),4/22/2023,PAYROLL APRIL 10 - 16,Labor,,,1,43868.78,43868.78
21047794 (Service Request for Cathode Plate Buffing),4/22/2023,PAYROLL APRIL 10 - 16 (BUFFERS),Labor,,,1,7988,7988
ADMIN,4/22/2023,PAYROLL APRIL 10 - 16 (OVERHEAD),Overhead payroll,,,1,26679.45,26679.45
ADMIN,4/22/2023,PAYROLL APRIL 10 - 16 (UTILITIES),Overhead payroll,,,1,4400,4400
ADMIN,4/25/2023,ASSORTED PPE,PPE,VC,CV0423-35,1,1600,1600
ADMIN,4/25/2023,ASSORTED PPE,PPE,VC,CV0423-36,1,1500,1500
ADMIN,4/26/2023,SAFETY GOGGLES,PPE,VC,CV0423-37,1,2654.88,2654.88
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),4/26/2023,PIPING PROJECT REPRESENTATION,SOP/ Project,VC,CV0423-38,1,5000,5000
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),4/27/2023,2 FORKLIFT RENTAL,Misc. Operation,VC,CV0423-39,1,6000,6000
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),4/27/2023,OXYGEN,Materials,OR,162,1,1150,1150
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),4/27/2023,FIRE EX - REFILL,Tools and Equip,OR,1831,4,1100,4400
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),4/27/2023,WELDING MASK,Tools and Equip,OR,1831,4,450,1800
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),4/27/2023,ASSORTED TOOLS AND MATERIALS,Tools and Equip,OR,53581,1,2763,2763
ADMIN,4/27/2023,MAKITA GRINDER,Tools and Equip,OR,411010,2,3800,7600
ADMIN,4/27/2023,CLEAR GLASS,Tools and Equip,OR,411010,20,5,100
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),4/27/2023,EARTH CLAMP,Tools and Equip,OR,507598,4,250,1000
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),4/27/2023,ELECTRODE HOLDER,Tools and Equip,OR,507598,4,450,1800
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),4/27/2023,FACESHIELD VISOR,Tools and Equip,OR,507597,20,180,3600
ADMIN,4/28/2023,WELDERS OUTING,Misc. Admin,VC,CV0423-45,1,5000,5000
ADMIN,4/24/2023,LOAD,Misc. Admin,VC,PCF0423-35,1,20,20
ADMIN,4/25/2023,TOOLS STICKER,Tools and Equip,OR,653,1,65,65
ADMIN,4/25/2023,TOOLS STICKER,Tools and Equip,OR,659,1,195,195
ADMIN,4/26/2023,BUS REPAIR,Repair & Maintenance,VC,PCF0423-37,1,300,300
ADMIN,4/26/2023,FUELS,Fuels,OR,414106,1,100,100
ADMIN,4/27/2023,LOAD,Misc. Admin,VC,PCF0423-40,1,20,20
ADMIN,4/26/2023,TIE WIRE AND GYPSUM SCREW,Materials,OR,13650,1,500,500
ADMIN,4/28/2023,STICKER,Tools and Equip,VC,PCF0423-42,1,130,130
ADMIN,4/28/2023,OFFICE SUPPLIES,Office Supply,OR,130,1,610,610
ADMIN,4/29/2023,FARE,Misc. Admin,VC,PCF0423-44,1,276,276
ADMIN,4/29/2023,FORKLIFT TIP,Misc. Admin,VC,PCF0423-46,1,100,100
ADMIN,4/29/2023,FORKLIFT TIP,Misc. Admin,VC,PCF0423-47,1,60,60
21047794 (Service Request for Cathode Plate Buffing),4/29/2023,"PAYROLL APRIL 17 - 23, 2023",Labor,,,1,35364.59,35364.59
21047794 (Service Request for Cathode Plate Buffing),4/29/2023,"PAYROLL APRIL 17 - 23, 2023 (BUFFERS)",Labor,,,1,6997,6997
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),4/29/2023,"PAYROLL APRIL 17 - 23, 2023 ",Labor,,,1,11846.45,11846.45
ADMIN,4/29/2023,"PAYROLL APRIL 17 - 23, 2023 (OVERHEAD)",Overhead payroll,,,1,31301.48,31301.48
